2026-08-03 00:25:14.575269 W VkSuggestions: slow frame 23,7ms locales=1 typedLen=4 candidates=14
... (17 VkStall main-thread stall lines omitted)

=== In-memory (current process) ===
2026-08-02 12:51:33.618348 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 12:51:33.618502 I LatinIME: IME handoff begun
2026-08-02 12:51:33.655045 I VkTyping: ○ hidden
2026-08-02 12:51:33.659001 I LatinIME: After IME hidden: cleanup complete
2026-08-02 12:51:54.302959 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 12:51:54.303025 I VkTyping: ▶ open restart=false pkg=len=18 inputType=524305
2026-08-02 12:51:54.303222 I Settings: loadSettings
2026-08-02 12:51:54.758095 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 12:51:54.862514 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=581 gen=23
2026-08-02 12:51:55.614426 I Settings: loadSettings
2026-08-02 12:51:57.326569 I VkKeyPreview: show burst=4 last=key=printable instant=true pool showing=1 free=1
2026-08-02 12:51:57.378964 I VkKeyPreview: dismiss burst=4 last=key=printable reason=release pool showing=0 free=2
2026-08-02 12:51:57.379052 I VkKeyPress: keys pressed=362
2026-08-02 12:51:57.493503 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=pt token=582 gen=23
2026-08-02 12:51:57.794970 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=pt token=583 gen=23
2026-08-02 12:51:58.043997 I VkSuggestions: strip composing typedLen=3 candidates=14 autocorrect=false top=len=3 locale=pt token=585 gen=23
2026-08-02 12:51:58.196298 I VkSuggestions: strip composing typedLen=4 candidates=15 autocorrect=false top=len=4 locale=pt token=586 gen=23
2026-08-02 12:51:58.370407 I VkSuggestions: strip composing typedLen=5 candidates=15 autocorrect=false top=len=5 locale=pt token=586 gen=23
2026-08-02 12:51:58.392575 I AdManager: resume-deferred fire suspended=false
2026-08-02 12:51:59.717549 I VkTextCorrection: rerank prediction head len=1→len=2
2026-08-02 12:51:59.717910 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=pt token=587 gen=23
2026-08-02 12:52:00.683756 I VkKeyPress: strip pick key=fn
2026-08-02 12:52:00.684307 I AiApiHelper: Using VibeKey Firebase proxy for Gemini
2026-08-02 12:52:00.684385 I AiApiHelper: Using VibeKey Firebase proxy for Together
2026-08-02 12:52:00.711200 I VkPanels: ▶ open ai_theme
2026-08-02 12:52:00.730240 I VkVibeCards: press pool=2 shown=2
2026-08-02 12:52:02.305588 I Settings: loadSettings
2026-08-02 12:52:05.153038 I LatinIME: onFinishInputView
2026-08-02 12:52:05.153499 I LatinIME: onFinishInput
2026-08-02 12:52:05.156400 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 12:52:05.156490 I LatinIME: IME handoff begun
2026-08-02 12:52:05.156621 I VkPanels: ○ close ai_theme
2026-08-02 12:52:05.189851 I VkTyping: ○ hidden
2026-08-02 12:52:05.193639 I LatinIME: After IME hidden: cleanup complete
2026-08-02 12:56:42.608932 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 12:56:42.609141 I VkTyping: ▶ open restart=false pkg=len=18 inputType=524305
2026-08-02 12:56:42.609556 I Settings: loadSettings
2026-08-02 12:56:43.070519 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 12:56:43.177679 I VkTextCorrection: rerank prediction head len=1→len=2
2026-08-02 12:56:43.178043 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=pt token=594 gen=23
2026-08-02 12:56:44.280577 I Settings: loadSettings
2026-08-02 12:56:44.565789 I LatinIME: onFinishInputView
2026-08-02 12:56:44.566145 I LatinIME: onFinishInput
2026-08-02 12:56:44.568429 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 12:56:44.568503 I LatinIME: IME handoff begun
2026-08-02 12:56:44.568602 I VkPanels: ○ close ai_theme
2026-08-02 12:56:44.647375 I VkTyping: ○ hidden
2026-08-02 12:56:44.651631 I LatinIME: After IME hidden: cleanup complete
2026-08-02 12:58:11.437822 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 12:58:11.437903 I VkTyping: ▶ open restart=false pkg=len=18 inputType=524305
2026-08-02 12:58:11.893778 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 12:58:12.003294 I VkTextCorrection: rerank prediction head len=1→len=1
2026-08-02 12:58:12.003886 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=599 gen=23
2026-08-02 12:58:15.540842 I AdManager: resume-deferred fire suspended=false
2026-08-02 12:58:16.782677 I LatinIME: hideWindow
2026-08-02 12:58:16.791068 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 12:58:16.791233 I LatinIME: IME handoff begun
2026-08-02 12:58:16.791431 I VkPanels: ○ close ai_theme
2026-08-02 12:58:16.794451 I LatinIME: onFinishInputView
2026-08-02 12:58:16.803285 I LatinIME: onFinishInput
2026-08-02 12:58:16.855240 I VkTyping: ○ hidden
2026-08-02 12:58:16.862088 I LatinIME: After IME hidden: cleanup complete
2026-08-02 12:58:18.796971 I LatinIME: onFinishInput
2026-08-02 12:58:18.804832 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 12:58:18.804923 I VkTyping: ▶ open restart=false pkg=len=20 inputType=589825
2026-08-02 12:58:19.257794 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 12:58:19.369016 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=601 gen=23
2026-08-02 12:58:20.608857 I VkKeyPress: strip pick key=fn
2026-08-02 12:58:20.609281 I AiApiHelper: Using VibeKey Firebase proxy for Gemini
2026-08-02 12:58:20.609359 I AiApiHelper: Using VibeKey Firebase proxy for Together
2026-08-02 12:58:20.621525 I VkPanels: ▶ open ai_theme
2026-08-02 12:58:20.628868 I VkVibeCards: press pool=2 shown=2
2026-08-02 12:58:22.891753 I AdManager: resume-deferred fire suspended=false
2026-08-02 12:58:31.171321 I VkPanels: ○ close ai_theme
2026-08-02 12:58:33.164221 I LatinIME: onFinishInputView
2026-08-02 12:58:33.164819 I LatinIME: onFinishInput
2026-08-02 12:58:33.170170 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 12:58:33.170359 I LatinIME: IME handoff begun
2026-08-02 12:58:33.200114 I VkTyping: ○ hidden
2026-08-02 12:58:33.203708 I LatinIME: After IME hidden: cleanup complete
2026-08-02 13:11:12.448628 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 13:11:12.448760 I VkTyping: ▶ open restart=false pkg=len=20 inputType=589825
2026-08-02 13:11:12.912130 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 13:11:13.023482 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=606 gen=23
2026-08-02 13:11:14.370845 I LatinIME: hideWindow
2026-08-02 13:11:14.373046 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 13:11:14.373173 I LatinIME: IME handoff begun
2026-08-02 13:11:14.386290 I LatinIME: onFinishInputView
2026-08-02 13:11:14.457735 I VkTyping: ○ hidden
2026-08-02 13:11:14.465160 I LatinIME: After IME hidden: cleanup complete
2026-08-02 13:11:14.629827 I LatinIME: requestHideSelf: 100
2026-08-02 13:11:15.952849 I LatinIME: onFinishInput
2026-08-02 13:11:15.974370 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 13:11:15.974497 I VkTyping: ▶ open restart=false pkg=len=18 inputType=524305
2026-08-02 13:11:16.434677 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 13:11:16.553249 I VkTextCorrection: rerank prediction head len=1→len=2
2026-08-02 13:11:16.553600 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=pt token=608 gen=23
2026-08-02 13:11:18.053824 I VkKeyPreview: show burst=5 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:18.055180 I VkKeyPreview: dismiss burst=5 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:18.055351 I VkKeyPress: keys pressed=378
2026-08-02 13:11:18.191079 I VkSuggestions: strip composing typedLen=1 candidates=15 autocorrect=false top=len=1 locale=pt token=609 gen=23
2026-08-02 13:11:18.464880 I VkSuggestions: strip composing typedLen=2 candidates=14 autocorrect=false top=len=2 locale=pt token=610 gen=23
2026-08-02 13:11:18.919602 I LatinIME: Restarting input. Cursor position = 0,0
2026-08-02 13:11:18.919694 I VkTyping: ▶ open restart=true pkg=len=18 inputType=524305
2026-08-02 13:11:19.093244 I LatinIME: hideWindow
2026-08-02 13:11:19.099009 I AdManager: Ads marked suspended (fast, no WebView/OMID touch)
2026-08-02 13:11:19.099174 I LatinIME: IME handoff begun
2026-08-02 13:11:19.100424 I LatinIME: onFinishInputView
2026-08-02 13:11:19.137274 I VkTyping: ○ hidden
2026-08-02 13:11:19.142467 I LatinIME: After IME hidden: cleanup complete
2026-08-02 13:11:19.445369 I LatinIME: requestHideSelf: 100
2026-08-02 13:11:22.433220 I LatinIME: onFinishInput
2026-08-02 13:11:22.613957 I LatinIME: Starting input. Cursor position = 0,0
2026-08-02 13:11:22.614047 I VkTyping: ▶ open restart=false pkg=len=18 inputType=180385
2026-08-02 13:11:23.033729 I AdManager: resume-deferred fire suspended=false
2026-08-02 13:11:23.067588 I VkLocaleAssets: preload predictors pt-BR
2026-08-02 13:11:23.172070 I VkTextCorrection: rerank prediction head len=1→len=2
2026-08-02 13:11:23.172499 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=2 locale=pt token=613 gen=23
2026-08-02 13:11:24.870037 I VkKeyPreview: show burst=2 last=key=printable instant=true pool showing=1 free=1
2026-08-02 13:11:24.917567 I VkKeyPreview: dismiss burst=2 last=key=printable reason=release pool showing=0 free=2
2026-08-02 13:11:24.918908 I VkKeyPress: keys pressed=380
2026-08-02 13:11:25.474518 I VkNgram: merge locale=pt prev=len=3 preds=8 contextual=0 assets=true
2026-08-02 13:11:25.475004 I VkTextCorrection: rerank prediction head len=1→len=1
2026-08-02 13:11:25.476203 I VkSuggestions: strip prediction typedLen=0 candidates=3 autocorrect=false top=len=1 locale=pt token=617 gen=23
